fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,notes,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
activityid,,,,False,,,true,,0,34,0,1,0,0,0,7,0,0,0,,,,,,
actualend,,,,False,,,true,,0,12,1,0,0,0,0,0,0,0,0,,,,,,
actualstart,,,,False,,,true,,0,1,1,1,0,0,0,0,0,0,0,,,,,,
azt_appointmenttype,Appointment Type,picklist,required,True,,"100000000: Conference Call, 100000001: Offsite Cold Call, 100000002: Onsite Customer Service, 100000003: Onsite Meeting, 100000004: Onsite Presentation, 100000005: Onsite Technical, 100000006: Onsite Training, 100000010: Other, 293130000: Trade Show, 100000007: Web Implementation, 100000008: Web Training, 100000009: Webinar",true,,2,32,0,1,0,0,0,0,0,0,0,,,,,,
azt_historicalowner,Historical Owner,nvarchar,none,True,,,true,,1,0,0,0,0,2,0,0,0,0,0,,,,,,
azt_isleadershipappointment,Is Leadership Appointment,bit,none,True,,"1: Yes, 0: No",true,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_leadershipcallwithid,Leadership Call With,lookup,none,True,,,true,,1,0,0,0,0,0,0,0,0,1,0,,,,,,
azt_recordownerid,Record Owner,lookup,none,True,,,true,,1,36,46,1,0,37,0,9,0,1,0,,,,,,
createdby,Created By,lookup,none,False,,,true,,0,2,0,2,0,2,0,0,0,0,0,,,,,,
createdon,Created On,datetime,none,False,,,true,,0,0,0,3,0,0,0,10,0,0,0,,,,,,
description,Description,ntext,none,False,,,true,,0,0,0,0,0,1,0,7,0,0,0,,,,,,
instancetypecode,Recurring Type,picklist,systemrequired,False,,"0: Not Recurring, 1: Recurring Master, 2: Recurring Instance, 3: Recurring Exception, 4: Recurring Future Exception",true,,0,1,0,1,0,0,0,0,0,0,0,,,,,,
isonlinemeeting,,,,False,,,true,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
location,,,,False,,,true,,0,1,0,0,0,0,0,0,0,0,0,,,,,,
prioritycode,,,,False,,,true,,0,1,0,0,0,0,0,0,0,0,0,,,,,,
regardingobjectid,Regarding,lookup,none,False,,,true,,0,2,0,1,0,14,0,8,0,33,0,,,,,,
requiredattendees,,,,False,,,true,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
scheduledend,,,,False,,,true,,0,30,8,1,0,0,0,2,0,0,0,,,,,,
scheduledstart,,,,False,,,true,,0,12,3,1,0,0,0,0,0,0,0,,,,,,
statuscode,Status Reason,picklist,none,False,,,true,,0,0,0,1,0,0,0,6,0,0,0,,,,,,
