fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_commissionamount,Commission Amount,money,recommended,True,,,true,2,5,0,0,0,2,0,1,0,0,0,,,,,,
azt_commissionamount_base,Commission Amount (Base),money,none,True,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_commissionid,Commission,lookup,none,True,,,true,1,0,0,0,0,3,0,4,0,1,0,,,,,,
azt_commissionpaymentid,Commission Payment,primarykey,systemrequired,False,,,true,0,7,0,0,0,1,0,2,0,0,0,,,,,,
azt_compgoalid,Comp Goal,lookup,none,True,,,true,1,0,0,0,0,2,0,2,0,1,0,,,,,,
azt_invoiceid,Invoice,lookup,none,True,,,true,1,7,0,0,0,3,0,10,0,1,0,,,,,,
azt_name,Name,nvarchar,required,True,,,true,3,7,0,0,0,10,0,18,0,0,0,,,,,,
azt_periodend,Period End,datetime,required,True,,,true,1,10,0,0,0,2,0,2,0,0,0,,,,,,
azt_periodstart,Period Start,datetime,required,True,,,true,1,5,0,0,0,2,0,2,0,0,0,,,,,,
createdby,Created By,lookup,none,False,,,true,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,,,true,1,0,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
exchangerate,Exchange Rate,decimal,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,,,true,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,,,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Owner,owner,systemrequired,False,,,true,4,14,0,0,0,25,0,22,0,1,0,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,true,0,0,0,0,0,0,0,0,0,1,0,,,,,,
owningteam,Owning Team,lookup,none,False,,,true,0,0,0,0,0,1,0,1,0,1,0,,,,,,
owninguser,Owning User,lookup,none,False,,,true,0,0,0,0,0,0,0,1,0,1,0,,,,,,
statecode,Status,state,systemrequired,False,,,true,0,6,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,,,true,1,0,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,,,true,1,0,0,0,0,20,0,8,0,1,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,false,0,0,0,0,0,0,0,0,0,0,0,,,,,,
