fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
activestageid,Active Stage,lookup,none,False,,,0,9,0,0,0,3,0,0,0,1,0,,,,,,
activestagestartedon,Active Stage Started On,datetime,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
bpf_azt_engagementid,Azt_Engagement,lookup,none,True,,,0,9,0,0,0,2,0,0,0,1,0,,,,,,
bpf_duration,Duration,int,none,True,,,0,2,0,0,0,0,1,1,0,0,0,,,,,,
bpf_name,Name,nvarchar,required,True,,,0,18,0,0,0,0,0,0,0,0,0,,,,,,
businessprocessflowinstanceid,Engagement Process,primarykey,systemrequired,False,,,0,10,0,0,0,0,0,1,0,0,0,,,,,,
completedon,Completed On,datetime,none,False,,,0,0,0,0,0,0,1,0,0,0,0,,,,,,
createdby,Created By,lookup,none,False,,,0,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,,,0,9,0,0,0,7,1,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,,,0,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,,,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
organizationid,Organization Id,lookup,none,False,,,0,0,0,0,0,0,0,0,0,1,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
processid,Process,lookup,none,False,,,0,9,0,0,0,0,0,0,0,1,0,,,,,,
statecode,Status,state,systemrequired,False,,,0,18,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,,,0,9,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
traversedpath,Traversed Path,nvarchar,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
