fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
activestageid,Active Stage,lookup,none,False,,,,,,,,
activestagestartedon,Active Stage Started On,datetime,none,False,,,,,,,,
bpf_azt_expensereportid,Azt_Expensereport,lookup,none,True,,,,,,,,
bpf_duration,Duration,int,none,True,,,,,,,,
bpf_name,Name,nvarchar,required,True,,,,,,,,
businessprocessflowinstanceid,Expense Approval Process,primarykey,systemrequired,False,,,,,,,,
completedon,Completed On,datetime,none,False,,,,,,,,
createdby,Created By,lookup,none,False,,,,,,,,
createdon,Created On,datetime,none,False,,,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,,,,,,
modifiedby,Modified By,lookup,none,False,,,,,,,,
modifiedon,Modified On,datetime,none,False,,,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,,,,,,
organizationid,Organization Id,lookup,none,False,,,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,,,,,,
processid,Process,lookup,none,False,,,,,,,,
statecode,Status,state,systemrequired,False,,,,,,,,
statuscode,Status Reason,status,none,False,,,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,,,,,,
traversedpath,Traversed Path,nvarchar,none,False,,,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,,,,,,
