fieldName,displayName,dataType,requiredLevel,isCustom,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
azt_accountid,Account,lookup,none,True,,,1,6,0,0,0,10,0,6,0,1,0,,,,,,
azt_description,Description,ntext,none,True,,,1,0,0,0,0,0,0,2,0,0,0,,,,,,
azt_extendedexpirationdate,Extended Expiration Date,datetime,none,True,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_name,Name,nvarchar,required,True,,,3,13,0,0,0,9,0,18,0,0,0,,,,,,
azt_previewexpirationdate,Preview Expiration Date,datetime,none,True,,,1,4,0,0,0,0,0,0,0,0,0,,,,,,
azt_previewid,Preview,primarykey,systemrequired,False,,,0,7,0,0,0,0,0,0,0,0,0,,,,,,
azt_previewstartdate,Preview Start Date,datetime,none,True,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,
azt_previewuserid,Preview User,lookup,none,True,,,1,1,0,0,0,0,0,0,0,1,0,,,,,,
azt_primarysalesrepid,Primary Sales Rep,lookup,none,True,,,1,6,0,0,0,0,0,0,0,1,0,,,,,,
createdby,Created By,lookup,none,False,,,1,0,0,0,0,25,0,0,0,1,0,,,,,,
createdon,Created On,datetime,none,False,,,1,6,0,0,0,7,0,10,0,0,0,,,,,,
createdonbehalfby,Created By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
importsequencenumber,Import Sequence Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
modifiedby,Modified By,lookup,none,False,,,1,0,0,0,0,2,0,0,0,1,0,,,,,,
modifiedon,Modified On,datetime,none,False,,,0,0,0,0,0,0,0,4,0,0,0,,,,,,
modifiedonbehalfby,Modified By (Delegate),lookup,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
overriddencreatedon,Record Created On,datetime,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ownerid,Owner,owner,systemrequired,False,,,3,1,0,0,0,24,0,22,0,1,0,,,,,,
owningbusinessunit,Owning Business Unit,lookup,none,False,,,0,0,0,0,0,0,0,0,0,1,0,,,,,,
owningteam,Owning Team,lookup,none,False,,,0,0,0,0,0,1,0,1,0,1,0,,,,,,
owninguser,Owning User,lookup,none,False,,,0,0,0,0,0,0,0,1,0,1,0,,,,,,
statecode,Status,state,systemrequired,False,,,0,6,0,0,0,10,0,20,0,0,0,,,,,,
statuscode,Status Reason,status,none,False,,,1,4,0,0,0,5,0,6,0,0,0,,,,,,
timezoneruleversionnumber,Time Zone Rule Version Number,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
utcconversiontimezonecode,UTC Conversion Time Zone Code,int,none,False,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,
