fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
activityid,Order Close,uniqueidentifier,required,False,2026-03-20 19:07:03,,true,0,0,0,0,0,0,0,7,0,0,0,,,,,,
activitytypecode,Activity Type,entityname,required,False,2026-03-20 19:07:03,,true,0,0,0,0,0,0,0,2,0,0,0,,,,,,
category,Category,nvarchar,none,False,Never,,true,0,0,0,0,0,0,0,3,0,0,0,,,,,,
createdon,Created On,datetime,none,False,Skipped (createdon),,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
description,Description,ntext,none,False,2026-03-20 19:07:03,,true,0,0,0,0,0,0,0,7,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,Skipped (modifiedon),,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
ownerid,Owner,lookup,required,False,2026-03-20 19:07:03,,true,0,0,0,0,0,0,0,22,0,0,0,,,,,,
regardingobjectid,Regarding,lookup,none,False,2026-03-20 19:07:03,,true,0,0,0,0,0,14,0,8,0,2,0,,,,,,
salesorderid,Order,lookup,none,False,2026-03-20 19:07:03,,true,0,0,0,0,0,0,0,13,0,0,0,,,,,,
scheduledend,Scheduled End,datetime,none,False,Never,,true,0,0,0,0,0,0,0,2,0,0,0,,,,,,
statecode,Status,picklist,required,False,2026-03-20 19:07:03,,true,0,0,0,0,0,0,0,20,0,0,0,,,,,,
statuscode,Status Reason,picklist,none,False,2026-03-20 19:07:03,,true,0,0,0,0,0,0,0,6,0,0,0,,,,,,
subject,Subject,nvarchar,none,False,2026-03-20 19:07:03,,true,0,0,0,0,0,0,0,3,0,0,0,,,,,,
transactioncurrencyid,Currency,lookup,none,False,Never,,true,0,0,0,0,0,0,0,8,0,0,0,,,,,,
