fieldName,displayName,dataType,requiredLevel,isCustom,lastUpdate,picklistValues,mappingSuggested,refForms,refViews,refChartVisualizations,refReports,refDashboards,refWorkflows,refFormulas,refPlugins,refPcfControls,refRelationships,refRibbon,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
activityid,,,,False,,,false,0,0,0,0,0,0,0,7,0,0,0,,,,,,
activitytypecode,,,,False,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
actualclosedate,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
adx_resolutiondate,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
amountdatatype,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_compplanamountid,,,,True,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
azt_licenseterm,,,,True,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_masecommission,,,,True,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
azt_payablecommission,,,,True,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_percentagepaid,,,,True,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
azt_recordowner,,,,True,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
baseamount,,,,False,,,false,0,0,0,0,0,0,0,4,0,0,0,,,,,,
billto_line1,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
billto_line2,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
billto_line3,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
billto_name,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
billto_postalcode,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
billto_stateorprovince,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
body,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
businessprocessflowinstanceid,Business Process Flow Instance Id,uniqueidentifier,none,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
category,,,,False,,,false,0,0,0,0,0,0,0,3,0,0,0,,,,,,
consideronlygoalownersrecords,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
createdon,Created On,datetime,none,False,,,true,0,0,0,0,0,0,0,10,0,0,0,,,,,,
datefulfilled,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
defaultuomid,,,,False,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
description,Description,ntext,none,False,,,true,0,0,0,0,0,0,0,7,0,0,0,,,,,,
discountamount,,,,False,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
ext_amt,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
extendedamount,,,,False,,,false,0,0,0,0,0,0,0,13,0,0,0,,,,,,
fetchxml,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
filename,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
goalenddate,,,,False,,,false,0,0,0,0,0,0,0,3,0,0,0,,,,,,
goalownerid,,,,False,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
goalstartdate,,,,False,,,false,0,0,0,0,0,0,0,3,0,0,0,,,,,,
internalemailaddress,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
invoicenumber,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
isamount,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
isfiscalperiodgoal,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
isocurrencycode,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
ispriceoverridden,,,,False,,,false,0,0,0,0,0,0,0,6,0,0,0,,,,,,
isproductoverridden,,,,False,,,false,0,0,0,0,0,0,0,4,0,0,0,,,,,,
jobtitle,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
manualdiscountamount,,,,False,,,false,0,0,0,0,0,0,0,9,0,0,0,,,,,,
mimetype,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
mobilephone,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
modifiedon,Modified On,datetime,none,False,,,true,0,0,0,0,0,0,0,4,0,0,0,,,,,,
objecttypecode,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
originatingleadid,,,,False,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
parentgoalid,,,,False,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
parentsystemuserid,,,,False,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
pricelevelid,Pricelevel,uniqueidentifier,required,False,,,true,0,0,0,0,0,0,0,1,0,0,0,,,,,,
priceperunit,,,,False,,,false,0,0,0,0,0,0,0,8,0,0,0,,,,,,
productdescription,,,,False,,,false,0,0,0,0,0,0,0,13,0,0,0,,,,,,
productname,,,,False,,,false,0,0,0,0,0,0,0,3,0,0,0,,,,,,
queryentitytype,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
record1roleid,,,,False,,,false,0,0,0,0,0,0,0,3,0,0,0,,,,,,
record2roleid,,,,False,,,false,0,0,0,0,0,0,0,5,0,0,0,,,,,,
regardingobjectid,Regarding,lookup,none,False,,,false,0,0,0,0,0,0,0,8,0,0,0,,,,,,
requestdeliveryby,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
rolluponlyfromchildgoals,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
rollupqueryactualmoneyid,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
salesorderdetailname,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
salesrepid,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
scheduledend,,,,False,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
shipto_line1,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
shipto_line2,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
shipto_line3,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
shipto_name,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
shipto_postalcode,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
shipto_stateorprovince,,,,False,,,false,0,0,0,0,0,0,0,1,0,0,0,,,,,,
statuscode,Status Reason,picklist,none,False,,,true,0,0,0,0,0,0,0,6,0,0,0,,,,,,
tax,,,,False,,,false,0,0,0,0,0,0,0,8,0,0,0,,,,,,
teamtype,,,,False,,,false,0,0,0,0,0,0,0,3,0,0,0,,,,,,
title,,,,False,,,false,0,0,0,0,0,0,0,2,0,0,0,,,,,,
